iter	Passed	Remaining
0	170	170800
1	183	91440
2	195	64916
3	207	51590
4	220	43815
5	233	38623
6	244	34663
7	256	31845
8	269	29634
9	282	27981
10	295	26544
11	307	25282
12	320	24354
13	334	23565
14	350	23005
15	365	22500
16	384	22254
17	403	21996
18	423	21859
19	440	21562
20	456	21264
21	472	21012
22	487	20726
23	504	20535
24	520	20294
25	536	20094
26	557	20105
27	578	20072
28	596	19976
29	614	19860
30	660	20655
31	729	22055
32	765	22427
33	783	22267
34	801	22086
35	817	21889
36	832	21676
37	848	21468
38	881	21718
39	899	21587
40	920	21521
41	941	21469
42	964	21466
43	1002	21772
44	1025	21768
45	1044	21663
46	1060	21511
47	1078	21398
48	1098	21314
49	1116	21221
50	1144	21298
51	1180	21513
52	1204	21525
53	1236	21653
54	1258	21629
55	1283	21640
56	1303	21566
57	1323	21489
58	1342	21415
59	1375	21545
60	1400	21565
61	1422	21521
62	1447	21535
63	1467	21460
64	1487	21398
65	1506	21320
66	1527	21274
67	1546	21200
68	1564	21114
69	1586	21071
70	1604	20988
71	1620	20889
72	1637	20796
73	1655	20720
74	1682	20750
75	1702	20704
76	1721	20631
77	1740	20576
78	1761	20535
79	1783	20504
80	1801	20436
81	1819	20365
82	1836	20292
83	1853	20213
84	1870	20135
85	1887	20062
86	1905	19997
87	1925	19957
88	1942	19886
89	1959	19815
90	1977	19755
91	1994	19683
92	2011	19621
93	2029	19556
94	2049	19520
95	2069	19488
96	2092	19483
97	2114	19463
98	2134	19425
99	2162	19461
100	2189	19487
101	2208	19447
102	2225	19379
103	2241	19314
104	2257	19245
105	2273	19174
106	2289	19107
107	2305	19038
108	2321	18972
109	2335	18896
110	2350	18823
111	2365	18754
112	2381	18690
113	2396	18626
114	2411	18558
115	2427	18496
116	2443	18438
117	2458	18375
118	2472	18307
119	2486	18237
120	2501	18172
121	2514	18095
122	2528	18027
123	2542	17964
124	2558	17907
125	2574	17858
126	2589	17798
127	2603	17735
128	2615	17659
129	2627	17587
130	2641	17523
131	2658	17481
132	2674	17433
133	2689	17380
134	2704	17326
135	2719	17276
136	2733	17218
137	2745	17148
138	2759	17095
139	2774	17040
140	2787	16980
141	2801	16924
142	2813	16860
143	2825	16795
144	2838	16735
145	2851	16680
146	2864	16620
147	2875	16555
148	2888	16496
149	2901	16441
150	2914	16387
151	2927	16332
152	2939	16275
153	2953	16224
154	2967	16179
155	2982	16136
156	2995	16084
157	3006	16023
158	3019	15970
159	3033	15925
160	3047	15879
161	3060	15831
162	3073	15780
163	3087	15739
164	3101	15695
165	3115	15653
166	3129	15608
167	3141	15558
168	3154	15510
169	3167	15467
170	3186	15446
171	3204	15428
172	3235	15466
173	3265	15499
174	3290	15510
175	3318	15535
176	3357	15611
177	3383	15627
178	3405	15617
179	3426	15610
180	3446	15593
181	3463	15568
182	3482	15549
183	3501	15527
184	3519	15503
185	3535	15470
186	3554	15455
187	3572	15431
188	3594	15423
189	3611	15397
190	3629	15371
191	3648	15352
192	3671	15352
193	3692	15341
194	3712	15327
195	3731	15304
196	3756	15311
197	3775	15293
198	3795	15278
199	3813	15252
200	3831	15230
201	3851	15215
202	3869	15190
203	3885	15160
204	3903	15138
205	3919	15106
206	3936	15079
207	3952	15049
208	3968	15018
209	3986	14995
210	4003	14971
211	4021	14946
212	4037	14917
213	4054	14892
214	4071	14864
215	4091	14851
216	4131	14907
217	4164	14937
218	4187	14934
219	4220	14962
220	4257	15006
221	4286	15023
222	4324	15067
223	4360	15105
224	4424	15240
225	4492	15386
226	4548	15489
227	4571	15477
228	4596	15474
229	4618	15460
230	4638	15442
231	4655	15412
232	4672	15380
233	4687	15345
234	4704	15315
235	4721	15286
236	4738	15255
237	4759	15238
238	4775	15206
239	4791	15173
240	4805	15135
241	4821	15101
242	4836	15066
243	4852	15034
244	4869	15004
245	4885	14973
246	4901	14942
247	4916	14909
248	4931	14875
249	4948	14846
250	4968	14826
251	4985	14798
252	5000	14764
253	5017	14737
254	5032	14703
255	5048	14671
256	5064	14640
257	5079	14609
258	5096	14581
259	5126	14590
260	5147	14574
261	5165	14549
262	5179	14515
263	5195	14484
264	5212	14457
265	5228	14428
266	5245	14399
267	5265	14382
268	5293	14385
269	5309	14354
270	5324	14324
271	5341	14296
272	5357	14266
273	5373	14236
274	5388	14205
275	5408	14188
276	5430	14175
277	5447	14148
278	5464	14122
279	5482	14098
280	5499	14071
281	5514	14041
282	5530	14012
283	5552	13998
284	5578	13994
285	5600	13980
286	5623	13969
287	5643	13952
288	5669	13947
289	5691	13933
290	5710	13912
291	5725	13881
292	5740	13851
293	5754	13818
294	5767	13784
295	5781	13750
296	5794	13716
297	5809	13686
298	5823	13653
299	5837	13621
300	5852	13591
301	5866	13559
302	5880	13526
303	5893	13492
304	5908	13463
305	5922	13431
306	5936	13401
307	5955	13379
308	5971	13354
309	5992	13338
310	6020	13337
311	6040	13319
312	6064	13310
313	6089	13303
314	6111	13289
315	6133	13276
316	6151	13253
317	6167	13227
318	6183	13199
319	6199	13173
320	6215	13147
321	6230	13117
322	6244	13087
323	6257	13056
324	6270	13024
325	6284	12993
326	6298	12962
327	6314	12936
328	6332	12914
329	6347	12887
330	6361	12858
331	6374	12826
332	6387	12794
333	6401	12765
334	6417	12738
335	6431	12709
336	6444	12679
337	6458	12648
338	6471	12618
339	6484	12588
340	6498	12558
341	6512	12530
342	6527	12502
343	6542	12476
344	6555	12446
345	6568	12415
346	6582	12386
347	6597	12360
348	6616	12342
349	6637	12325
350	6657	12310
351	6675	12289
352	6695	12272
353	6718	12260
354	6746	12257
355	6775	12257
356	6795	12239
357	6813	12218
358	6845	12222
359	6881	12234
360	6920	12250
361	6956	12260
362	6986	12260
363	6999	12229
364	7013	12201
365	7027	12172
366	7042	12146
367	7057	12121
368	7071	12093
369	7086	12066
370	7101	12040
371	7115	12011
372	7129	11983
373	7145	11959
374	7160	11934
375	7174	11907
376	7189	11880
377	7202	11852
378	7217	11826
379	7231	11799
380	7244	11769
381	7259	11743
382	7273	11717
383	7292	11698
384	7308	11674
385	7324	11650
386	7341	11628
387	7359	11607
388	7374	11582
389	7390	11559
390	7407	11537
391	7423	11514
392	7439	11491
393	7457	11470
394	7475	11449
395	7489	11423
396	7505	11399
397	7520	11375
398	7536	11352
399	7553	11329
400	7567	11303
401	7581	11277
402	7595	11251
403	7609	11226
404	7622	11198
405	7636	11172
406	7649	11145
407	7664	11120
408	7678	11094
409	7692	11069
410	7707	11045
411	7720	11017
412	7733	10991
413	7746	10965
414	7760	10939
415	7774	10914
416	7787	10886
417	7801	10862
418	7815	10837
419	7829	10811
420	7843	10786
421	7857	10762
422	7871	10737
423	7888	10715
424	7902	10692
425	7917	10667
426	7933	10646
427	7956	10633
428	7979	10620
429	8000	10605
430	8025	10594
431	8055	10590
432	8080	10581
433	8106	10572
434	8127	10556
435	8152	10546
436	8179	10538
437	8200	10522
438	8221	10506
439	8244	10493
440	8263	10474
441	8284	10458
442	8306	10444
443	8337	10440
444	8364	10431
445	8393	10425
446	8423	10420
447	8448	10409
448	8471	10395
449	8491	10378
450	8511	10361
451	8532	10345
452	8549	10324
453	8566	10302
454	8583	10281
455	8604	10264
456	8621	10243
457	8638	10223
458	8657	10204
459	8676	10185
460	8692	10163
461	8711	10144
462	8726	10121
463	8747	10104
464	8764	10083
465	8782	10063
466	8801	10044
467	8819	10025
468	8840	10009
469	8860	9991
470	8879	9972
471	8899	9954
472	8918	9936
473	8936	9916
474	8954	9896
475	8970	9874
476	8987	9854
477	9003	9831
478	9020	9811
479	9040	9794
480	9060	9775
481	9078	9756
482	9097	9737
483	9121	9724
484	9146	9712
485	9177	9706
486	9197	9688
487	9218	9671
488	9240	9656
489	9259	9637
490	9277	9617
491	9293	9595
492	9307	9572
493	9323	9549
494	9337	9526
495	9351	9502
496	9367	9480
497	9385	9460
498	9400	9438
499	9414	9414
500	9430	9393
501	9445	9370
502	9460	9348
503	9477	9327
504	9493	9305
505	9508	9283
506	9524	9261
507	9540	9239
508	9555	9217
509	9571	9195
510	9587	9174
511	9603	9153
512	9618	9131
513	9633	9108
514	9647	9085
515	9661	9062
516	9676	9040
517	9692	9019
518	9707	8997
519	9723	8975
520	9738	8953
521	9754	8931
522	9771	8912
523	9789	8892
524	9807	8873
525	9823	8852
526	9839	8831
527	9855	8810
528	9870	8788
529	9886	8767
530	9903	8746
531	9920	8727
532	9935	8705
533	9952	8685
534	9969	8664
535	9984	8643
536	10000	8622
537	10018	8603
538	10035	8582
539	10052	8563
540	10070	8544
541	10089	8525
542	10106	8506
543	10123	8486
544	10140	8465
545	10156	8444
546	10171	8423
547	10188	8403
548	10203	8382
549	10219	8361
550	10234	8339
551	10251	8320
552	10270	8301
553	10294	8287
554	10319	8274
555	10345	8261
556	10366	8244
557	10388	8229
558	10412	8214
559	10431	8196
560	10449	8177
561	10465	8156
562	10480	8135
563	10496	8114
564	10513	8094
565	10530	8074
566	10547	8055
567	10565	8035
568	10583	8016
569	10598	7995
570	10614	7974
571	10630	7954
572	10649	7935
573	10669	7918
574	10689	7900
575	10708	7882
576	10726	7863
577	10749	7848
578	10772	7832
579	10793	7815
580	10813	7798
581	10829	7778
582	10849	7760
583	10867	7741
584	10886	7722
585	10902	7702
586	10918	7681
587	10935	7661
588	10949	7640
589	10967	7621
590	10986	7602
591	11001	7582
592	11015	7560
593	11029	7538
594	11044	7517
595	11058	7496
596	11073	7475
597	11090	7455
598	11105	7434
599	11121	7414
600	11136	7393
601	11150	7372
602	11165	7350
603	11179	7329
604	11198	7311
605	11215	7291
606	11231	7271
607	11251	7253
608	11270	7236
609	11288	7217
610	11306	7198
611	11324	7179
612	11341	7160
613	11359	7141
614	11375	7120
615	11391	7101
616	11407	7081
617	11423	7060
618	11442	7042
619	11463	7025
620	11483	7008
621	11503	6990
622	11524	6973
623	11549	6959
624	11571	6942
625	11592	6925
626	11606	6904
627	11621	6884
628	11636	6863
629	11651	6843
630	11666	6822
631	11681	6802
632	11696	6781
633	11714	6762
634	11733	6744
635	11749	6724
636	11765	6704
637	11784	6686
638	11799	6666
639	11814	6645
640	11829	6625
641	11845	6605
642	11860	6584
643	11874	6563
644	11887	6542
645	11901	6521
646	11916	6501
647	11931	6481
648	11947	6461
649	11962	6441
650	11977	6421
651	11992	6400
652	12007	6380
653	12021	6360
654	12035	6339
655	12050	6319
656	12065	6299
657	12081	6279
658	12095	6258
659	12110	6238
660	12125	6218
661	12141	6198
662	12156	6178
663	12172	6159
664	12188	6139
665	12202	6119
666	12216	6098
667	12230	6078
668	12244	6058
669	12261	6039
670	12276	6019
671	12290	5999
672	12305	5979
673	12322	5959
674	12336	5939
675	12350	5919
676	12364	5899
677	12379	5879
678	12396	5860
679	12411	5840
680	12426	5821
681	12442	5801
682	12457	5781
683	12474	5762
684	12490	5743
685	12506	5724
686	12523	5705
687	12540	5687
688	12558	5668
689	12577	5650
690	12601	5634
691	12623	5618
692	12652	5605
693	12677	5589
694	12703	5575
695	12728	5559
696	12750	5543
697	12769	5524
698	12785	5505
699	12801	5486
700	12818	5467
701	12834	5448
702	12850	5428
703	12866	5409
704	12883	5390
705	12898	5371
706	12913	5351
707	12926	5331
708	12939	5310
709	12954	5291
710	12976	5274
711	12995	5256
712	13012	5237
713	13030	5219
714	13049	5201
715	13070	5184
716	13101	5171
717	13129	5156
718	13152	5140
719	13172	5122
720	13193	5105
721	13212	5087
722	13230	5068
723	13249	5050
724	13269	5033
725	13293	5017
726	13315	5000
727	13334	4982
728	13354	4964
729	13372	4946
730	13392	4928
731	13411	4910
732	13429	4891
733	13446	4873
734	13463	4854
735	13481	4835
736	13500	4817
737	13517	4798
738	13533	4779
739	13551	4761
740	13568	4742
741	13586	4724
742	13605	4705
743	13623	4687
744	13640	4669
745	13659	4650
746	13678	4632
747	13695	4614
748	13712	4595
749	13729	4576
750	13745	4557
751	13769	4541
752	13792	4524
753	13817	4507
754	13842	4491
755	13869	4476
756	13889	4458
757	13911	4441
758	13932	4423
759	13947	4404
760	13965	4386
761	13983	4367
762	14002	4349
763	14021	4331
764	14038	4312
765	14055	4293
766	14072	4274
767	14089	4256
768	14104	4236
769	14118	4217
770	14135	4198
771	14151	4179
772	14167	4160
773	14186	4142
774	14202	4123
775	14218	4104
776	14235	4085
777	14251	4066
778	14267	4047
779	14284	4028
780	14301	4010
781	14318	3991
782	14336	3973
783	14352	3954
784	14368	3935
785	14385	3916
786	14402	3898
787	14418	3879
788	14435	3860
789	14450	3841
790	14466	3822
791	14482	3803
792	14499	3784
793	14515	3765
794	14531	3747
795	14549	3728
796	14564	3709
797	14582	3691
798	14600	3672
799	14616	3654
800	14634	3635
801	14650	3617
802	14665	3598
803	14681	3579
804	14698	3560
805	14714	3541
806	14733	3523
807	14750	3505
808	14765	3486
809	14781	3467
810	14796	3448
811	14812	3429
812	14828	3410
813	14845	3392
814	14861	3373
815	14877	3354
816	14894	3336
817	14911	3317
818	14935	3300
819	14958	3283
820	14979	3266
821	15005	3249
822	15029	3232
823	15054	3215
824	15076	3198
825	15091	3179
826	15105	3159
827	15118	3140
828	15130	3121
829	15146	3102
830	15160	3083
831	15175	3064
832	15189	3045
833	15203	3026
834	15216	3006
835	15229	2987
836	15244	2968
837	15259	2949
838	15273	2931
839	15292	2912
840	15311	2894
841	15329	2876
842	15345	2857
843	15366	2840
844	15385	2822
845	15402	2803
846	15419	2785
847	15435	2766
848	15451	2748
849	15466	2729
850	15482	2710
851	15494	2691
852	15508	2672
853	15522	2653
854	15537	2634
855	15552	2616
856	15567	2597
857	15582	2578
858	15599	2560
859	15612	2541
860	15625	2522
861	15638	2503
862	15652	2484
863	15666	2466
864	15681	2447
865	15697	2428
866	15712	2410
867	15725	2391
868	15738	2372
869	15751	2353
870	15765	2335
871	15780	2316
872	15792	2297
873	15806	2278
874	15821	2260
875	15835	2241
876	15849	2222
877	15864	2204
878	15878	2185
879	15892	2167
880	15905	2148
881	15920	2129
882	15934	2111
883	15949	2092
884	15963	2074
885	15977	2055
886	15990	2037
887	16003	2018
888	16018	2000
889	16032	1981
890	16046	1963
891	16059	1944
892	16073	1925
893	16091	1907
894	16112	1890
895	16133	1872
896	16151	1854
897	16173	1837
898	16193	1819
899	16214	1801
900	16230	1783
901	16244	1764
902	16258	1746
903	16272	1728
904	16285	1709
905	16298	1691
906	16312	1672
907	16326	1654
908	16342	1636
909	16357	1617
910	16371	1599
911	16383	1580
912	16398	1562
913	16412	1544
914	16425	1525
915	16441	1507
916	16455	1489
917	16470	1471
918	16483	1452
919	16496	1434
920	16510	1416
921	16524	1397
922	16538	1379
923	16553	1361
924	16568	1343
925	16580	1325
926	16595	1306
927	16609	1288
928	16623	1270
929	16637	1252
930	16651	1234
931	16663	1215
932	16676	1197
933	16690	1179
934	16703	1161
935	16716	1143
936	16728	1124
937	16742	1106
938	16756	1088
939	16771	1070
940	16785	1052
941	16800	1034
942	16814	1016
943	16826	998
944	16841	980
945	16855	962
946	16870	944
947	16884	926
948	16897	908
949	16909	889
950	16923	871
951	16936	853
952	16950	835
953	16964	817
954	16976	799
955	16990	781
956	17005	764
957	17018	746
958	17033	728
959	17047	710
960	17060	692
961	17072	674
962	17086	656
963	17100	638
964	17114	620
965	17127	602
966	17141	584
967	17154	567
968	17167	549
969	17181	531
970	17195	513
971	17209	495
972	17222	477
973	17239	460
974	17256	442
975	17273	424
976	17293	407
977	17312	389
978	17332	371
979	17355	354
980	17375	336
981	17391	318
982	17411	301
983	17425	283
984	17438	265
985	17453	247
986	17467	230
987	17482	212
988	17497	194
989	17511	176
990	17526	159
991	17542	141
992	17556	123
993	17569	106
994	17583	88
995	17605	70
996	17624	53
997	17643	35
998	17660	17
999	17679	0
